                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 0.7435,                 0.5229,                 0.9576,                0.83437,                0.84377,                0.86905,                0.76598,                0.70856,                0.57839,                0.93569,              0.0088516,              0.0088516,              0.0088516
                    119,                0.72215,                0.49269,                0.95781,                 0.8742,                 0.8557,                0.88955,                0.78012,                0.71342,                0.54012,                0.93817,              0.0088417,              0.0088417,              0.0088417
                    120,                0.73543,                 0.5191,                0.94607,                0.84219,                0.88789,                0.84254,                0.74306,                 0.7173,                0.56221,                0.93569,              0.0088318,              0.0088318,              0.0088318
                    121,                0.71535,                 0.4973,                 0.9548,                0.66706,                0.78637,                0.73594,                0.60704,                 0.8911,                 1.3789,                 1.0788,              0.0088219,              0.0088219,              0.0088219
                    122,                0.71393,                0.49807,                0.96065,                0.81936,                0.89316,                0.89523,                0.79078,                0.74075,                0.57299,                0.96301,               0.008812,               0.008812,               0.008812
                    123,                0.72413,                0.50701,                0.95058,                0.87632,                0.89069,                0.92597,                0.82897,                0.71017,                0.51719,                0.93634,              0.0088021,              0.0088021,              0.0088021
                    124,                0.71308,                0.50982,                0.94734,                0.82088,                0.88149,                 0.8901,                0.78378,                0.72679,                0.61027,                0.94896,              0.0087922,              0.0087922,              0.0087922
                    125,                0.73081,                0.49497,                0.95491,                0.75194,                 0.6939,                0.76731,                 0.6418,                0.87795,                 1.7759,                 1.0443,              0.0087823,              0.0087823,              0.0087823
                    126,                0.71481,                0.55159,                0.95156,                 0.8819,                0.91806,                0.93734,                0.83028,                0.71764,                0.48044,                0.93968,              0.0087724,              0.0087724,              0.0087724
                    127,                0.71613,                0.48934,                0.95849,                0.88443,                0.89204,                0.92977,                0.82119,                0.72173,                0.47217,                0.93949,              0.0087625,              0.0087625,              0.0087625
                    128,                0.71141,                0.48899,                0.92606,                0.87883,                0.86918,                0.88236,                0.78279,                0.71017,                0.55086,                  0.926,              0.0087526,              0.0087526,              0.0087526
                    129,                0.71504,                0.49166,                0.94543,                0.81751,                0.87462,                0.87343,                0.76681,                0.73367,                0.60919,                 0.9492,              0.0087427,              0.0087427,              0.0087427
                    130,                0.70792,                 0.4975,                0.94384,                0.78775,                0.90225,                0.89501,                0.79185,                0.73013,                0.63903,                0.94549,              0.0087328,              0.0087328,              0.0087328
                    131,                0.70557,                0.49234,                 0.9437,                0.82885,                0.89201,                 0.8553,                 0.7472,                0.75367,                 0.6013,                0.95067,              0.0087229,              0.0087229,              0.0087229
                    132,                0.72561,                 0.5025,                0.95217,                0.66981,                0.75156,                0.69288,                 0.5583,                0.96663,                 1.4756,                 1.1148,               0.008713,               0.008713,               0.008713
                    133,                0.72304,                0.50205,                0.95691,                0.83464,                0.87782,                0.85048,                0.74346,                 0.7491,                0.64736,                0.97121,              0.0087031,              0.0087031,              0.0087031
                    134,                0.70064,                0.52308,                0.92928,                0.83032,                 0.8998,                 0.9009,                 0.8002,                0.70621,                 0.5614,                0.92932,              0.0086932,              0.0086932,              0.0086932
                    135,                0.71972,                0.49919,                0.94563,                0.80964,                0.92297,                0.91082,                0.80578,                0.70687,                0.51861,                0.92234,              0.0086833,              0.0086833,              0.0086833
